id,hylly,tuotenumero,varaosanro,Nimike,saldo,yks,myynti,osto
1,A4,A61000,260-1109300-01,ilmansuodatin Bel 1221/1523,1,kpl,0,20.71
2,A4,A61001,260-1017060,Öljynsuodatin 1221/1522,2,kpl,0,1.37
3,A8,A81000,755-3101017,Vanteenkeskiö,0,kpl,0,40
4,A8,A81001,72-2203010-A2 OR,Kardaani,0,kpl,0,0
5,A9,A91000,771B-3104050,Pinnapultti,18,kpl,0,3.9
6,A9,A91001,771B-3107042,Pinnapultin mutteri,12,kpl,0,2.15
7,A9,A91002,771B-3107044,Pyörän kiinnityspalikka,8,kpl,0,10
8,A9,A91003,10.000-A,Lamelli,58,kpl,0,2.15
9,A10,A10000,771B-3104016-20,Kansi,4,kpl,0,8.25
10,A10,A10001,771B-3104067,Kansi tiiviste,2,kpl,0,1.25
11,A10,A10002,771B-3104035-B,Akselitiiviste,4,kpl,0,1.36
12,A10,A10003,"M72x1,5 PTS-9","Lukitusmutterisarja M72x1,5 PTS-9",1,kpl,0,2.24
13,A11,A11002,PD032,Polttoainesuodatin PD032/A20-1117010,5,kpl,0,14.5
14,A11,A11003,FT20-1117010,PÖ suodatin vedenerottajalla,1,kpl,0,6.5
15,A12,A12000,IPTC-11,Jousen keskihenkseli L-325mm,4,kpl,0,26.6
16,A12,A12001,516-290,Henkselipultti L-295mm,4,kpl,0,20
17,A12,A12002,,Mutteri henkselipultille,24,kpl,0,2.15
18,A13,A13000,70-1309080,Tuulitunneli,1,kpl,0,6.79
19,A14,A14000,70-3407040-A1,Öljyputki ohjaustehostin,2,kpl,0,29.5
20,A14,A14001,50-3405047,Ohjaustehostin pylvään akseli,1,kpl,0,28.75
21,A15,A15000,9172780,Startti magneton 24V,0,kpl,0,0
22,A15,A15001,11.131.821 (AZE4183),Startti 12 V ZE4183 LETRIKA,0,kpl,0,0
23,A15,A15002,9142780,"Startti 12 V /2,7 kW",0,kpl,0,0
24,A16,A16000,771B-3502110,Jarrukengän levittäjä akseli,1,kpl,0,3.18
25,A16,A16001,771B-3502115,Jarrukengän levittäjä akseli,1,kpl,0,3
26,A16,A16002,7716-3502106-B 143-63P3,Jarruhihna,6,kpl,0,5.51
27,A16,A16003,500-3501034,Jarrujousi pitempi,9,kpl,0,1.71
28,A16,A16004,500-3501037,Jarrujousi lyhyempi,9,kpl,0,1.43
29,A16,A16005,771B-3502020,Jarrukilpi  vasen,3,kpl,0,23
30,A16,A16006,771B-3502021,Jarrukilpi  oikea,3,kpl,0,23
31,A16,A16007,8x24,Niittejä,1,kpl,0,2.71
32,A18,A18000,1220-4605630-04,Vetovarsi,1,kpl,0,220
33,A19,A19000,9554-3502090,Jarrukenkä,4,kpl,0,165.66
34,A20,A20000,771B-3502070-01,Jarrurumpu,1,kpl,0,80.87
35,A21,A21000,70-2801120-A,Etukehto,1,kpl,0,98
36,A22,A22000,T25-1601050-B1,2-levykytkin  täydellinen,1,kpl,0,145.7
37,A23,A23000,70-1601090A,Paineasetelma,1,kpl,91.8,68
38,A24,A24000,50-1601093,Kytkimen painelevy,2,kpl,0,30.2
39,B2,B20000,80-8104070,Ohjaamon ilmansuodatin,2,kpl,0,6.1
